year,month,t
2012,10,15.076517150395778
2012,11,9.934871099050204
2012,12,5.839169909208819
2013,1,5.796632124352332
2013,2,6.2463126843657815
2013,3,9.283870967741935
2013,4,12.19591836734694
2013,5,14.719736842105263
2013,6,21.765927977839336
2013,7,27.592493297587133
2013,8,26.851604278074866
2013,9,22.300824175824175
2013,10,16.30880420499343
2013,11,9.125
2013,12,4.7650918635170605
2014,1,8.05359477124183
2014,2,7.326797385620915
2014,3,10.840133779264214
2014,4,15.817174515235457
2014,5,18.06841046277666
2014,6,22.62526766595289
2014,7,24.964237516869098
2014,8,25.92905866302865
2014,9,21.83096590909091
2014,10,17.410116199589883
2014,11,10.715307582260372
2014,12,5.607246376811594
2015,1,4.318623784592371
2015,2,6.278966131907309
2015,3,10.36331569664903
2015,4,14.010743061772605
2015,5,19.758780036968577
2015,6,24.34224049331963
2015,7,30.192245557350564
2015,8,26.181192660550458
2015,9,20.512043512043512
2015,10,15.677814029363784
2015,11,10.983132530120482
2015,12,7.349717969379532
2016,1,8.026644462947544
2016,2,7.634069400630914
2016,3,8.611317254174397
2016,4,11.640730067243036
2016,5,15.376059322033898
2016,6,23.32760736196319
2016,7,28.055622732769045
2016,8,27.17241379310345
2016,9,22.74739764052741
2016,10,16.387566137566136
2016,11,9.05464480874317
2016,12,6.735428945645055
2017,1,4.675116744496331
2017,2,8.36632200886263
2017,3,10.983935742971887
2017,4,14.95152354570637
2017,5,19.811333333333334
2017,6,26.49824561403509
2017,7,26.738870431893687
2017,8,26.583053127101547
2017,9,20.972008397480757
2017,10,17.543317662860982
2017,11,8.863414634146341
2017,12,5.824596774193548
2018,1,5.9427048634243835
2018,2,5.410162002945508
2018,3,8.853271645736946
2018,4,12.971348707197764
2018,5,16.54211229946524
2018,6,22.11390635918938
2018,7,26.251184834123222
2018,8,27.608053691275167
2018,9,23.874827109266942
2018,10,15.137541528239202
2018,11,9.958672086720867
2018,12,5.911937377690802
2019,1,4.668459986550101
2019,2,7.279225614296352
2019,3,11.382649630127775
2019,4,12.210958904109589
2019,5,18.53099730458221
2019,6,23.910614525139664
2019,7,28.17859531772575
