year,month,t
2012,10,6.235546038543897
2012,11,4.4413692643845595
2012,12,-3.3391243919388462
2013,1,-4.21100278551532
2013,2,-1.727410782080486
2013,3,-3.192229038854806
2013,4,4.465083798882682
2013,5,12.974272173324305
2013,6,16.23615977575333
2013,7,18.10391363022942
2013,8,17.1418826739427
2013,9,12.218012866333096
2013,10,8.230142566191446
2013,11,3.961647727272727
2013,12,3.056537102473498
2014,1,-1.5629731589814178
2014,2,2.158850226928896
2014,3,3.938555030384875
2014,4,6.659707724425887
2014,5,10.672530446549391
2014,6,13.938071780436312
2014,7,20.212981744421906
2014,8,16.971547536433032
2014,9,12.741084165477888
2014,10,9.125864453665283
2014,11,5.196162046908316
2014,12,0.06811797752808989
2015,1,0.7201963534361852
2015,2,0.9967897271268058
2015,3,3.300153139356815
2015,4,6.716257668711656
2015,5,9.463142218912882
2015,6,13.877480586712684
2015,7,16.415159944367176
2015,8,17.149683766690092
2015,9,12.835777126099707
2015,10,7.0604515659140565
2015,11,4.390081421169504
2015,12,3.4881550610193828
2016,1,-4.637142857142857
2016,2,-0.1163141993957704
2016,3,2.6744350282485874
2016,4,5.567055393586005
2016,5,12.386175807663411
2016,6,15.978354978354979
2016,7,18.21779359430605
2016,8,16.50851063829787
2016,9,14.649025069637883
2016,10,7.081934184016118
2016,11,1.8135349172066235
2016,12,1.8919648885887914
2017,1,-0.8362533692722371
2017,2,-0.37089552238805973
2017,3,2.8020338983050848
2017,4,4.33426769446391
2017,5,10.851020408163265
2017,6,14.906666666666666
2017,7,16.90840220385675
2017,8,16.234610123119015
2017,9,12.805770584095708
2017,10,7.5169606512890095
2017,11,3.288100208768267
2017,12,1.107290233837689
2018,1,-0.313953488372093
2018,2,-3.80314371257485
2018,3,-2.1653171390013495
2018,4,6.410776766969909
2018,5,15.243041412084182
2018,6,16.719310839913856
2018,7,21.891451831750338
2018,8,18.70954356846473
2018,9,13.715774843641418
2018,10,8.207687120701282
2018,11,4.1594707520891365
2018,12,0.5070707070707071
2019,1,-2.2877358490566038
2019,2,1.6669150521609537
2019,3,2.3283378746594003
2019,4,6.7751396648044695
2019,5,10.49247606019152
2019,6,18.013408609738885
2019,7,17.065319865319864
