year,month,t
2012,10,9.540633608815426
2012,11,6.50140056022409
2012,12,4.735758407687028
2013,1,3.002708192281652
2013,2,2.2611657834973506
2013,3,2.0033898305084747
2013,4,7.231571627260084
2013,5,10.35897435897436
2013,6,13.651081646894626
2013,7,18.560646900269543
2013,8,17.243224932249323
2013,9,13.444521981856246
2013,10,12.029669588671611
2013,11,6.104748603351955
2013,12,6.2201215395003375
2014,1,5.538043478260869
2014,2,5.825037707390648
2014,3,7.5020188425302825
2014,4,10.206680584551147
2014,5,12.11432414256893
2014,6,15.166087560806115
2014,7,18.300944669365723
2014,8,15.41520861372813
2014,9,15.113524877365101
2014,10,12.43593220338983
2014,11,8.320848056537102
2014,12,5.058618283321703
2015,1,4.301128349788434
2015,2,3.594294770206022
2015,3,6.292998477929984
2015,4,9.127853881278538
2015,5,11.270089285714286
2015,6,14.450381679389313
2015,7,16.73806275579809
2015,8,16.51566757493188
2015,9,12.53578874218207
2015,10,10.929264909847435
2015,11,9.6311706629055
2015,12,10.099374565670605
2016,1,5.330601092896175
2016,2,4.824264705882353
2016,3,5.422997946611909
2016,4,7.5078125
2016,5,12.472260748959778
2016,6,14.957356076759062
2016,7,17.674698795180724
2016,8,17.83624912526242
2016,9,16.433333333333334
2016,10,10.5
2016,11,5.625694444444444
2016,12,5.856182795698925
2017,1,2.8635752688172045
2017,2,5.730253353204173
2017,3,8.359353970390309
2017,4,8.922916666666667
2017,5,12.86760752688172
2017,6,16.812762973352033
2017,7,17.09011432414257
2017,8,15.784604996623903
2017,9,13.167014613778706
2017,10,12.142183288409704
2017,11,6.776233495482974
2017,12,4.775537634408602
2018,1,5.038306451612903
2018,2,2.205357142857143
2018,3,4.685521885521886
2018,4,9.983286908077995
2018,5,13.326558265582657
2018,6,16.260168302945303
2018,7,20.385080645161292
2018,8,17.585349462365592
2018,9,14.334954829742877
2018,10,10.796370967741936
2018,11,7.723611111111111
2018,12,6.871639784946237
2019,1,3.881048387096774
2019,2,6.698660714285714
2019,3,8.001346801346802
2019,4,8.59596662030598
2019,5,11.748317631224765
2019,6,14.851285615010424
2019,7,18.374327956989248
